performance_id,paper_id,model_id,primary_task,has_cnn_baseline,metric_name,metric_value,baseline_model,baseline_value,performance_gain,additional_metrics,multi_resolution_testing,additional_results,primary_task_clean,performance_gain_numeric,metric_value_numeric
48,48,48,Tree Species Classification,Yes,Overall Accuracy|Kappa coefficient,Swin-T: 97.43% OA (Kappa: 0.9671) on original; 98.59% OA (Kappa: 0.9810) on reconstructed. ViT-B: 97.41% OA (Kappa: 0.9668) on original; 97.88% OA (Kappa: 0.9716) on reconstructed. ConvNeXt-T: 97.17% OA (Kappa: 0.9621) on original; 98.70% OA (Kappa: 0.9826) on reconstructed,ResNet-50,95.32% OA (Kappa: 0.9368) on original dataset; 96.71% OA (Kappa: 0.9558) on super-resolution reconstructed dataset,Swin-T: +2.11% OA over ResNet-50 baseline (original dataset). After super-resolution: ConvNeXt-T shows best absolute performance at 98.70% OA,"Per-species confusion matrices provided in Figures 14 and 16|Training/validation loss curves converge after 120-130 epochs for original dataset, 90-100 epochs for reconstructed dataset",,"Tree species distribution map generated for Dongtai Forest Farm test plot successfully classified forest sections: left plot predominantly Metasequoia, middle plot Poplar, right plot Ginkgo, lower plot Bamboo. Training employed AdamW optimizer, batch size 16, initial learning rate 4×10⁻⁴, weight decay 5×10⁻⁲, LambdaLR learning rate adjustment strategy.",Species Classification,2.11,97.43
49,49,49,Individual Tree Detection/Counting,Yes,Average Precision (AP),0.810 ID AP (Grounding DINO Finetune Head),Faster-RCNN,0.778 ID AP,+0.032 ID AP,Tree Count R^2: 0.92 (for Faster-RCNN on conventional eval),,,Tree Detection,3.2,81.0
50,50,50,Deforestation Mapping,No,mIoU|Accuracy,TiMo-Large: MultiEarth 0.8024 mIoU; MultiSenGE 0.3097 mIoU; MTLCC 0.7718 mIoU; KuroSiwo 0.6711 mIoU,"SeCo, CACo, GASSL, Prithvi-EO-2.0, SatMAE (all SITS foundation models with ResNet-50 or ViT-Large backbones, not CNNs)","MultiEarth: SatMAE (ViT-Large, 307M) 0.7687 mIoU; Prithvi-EO-2.0 (ViT-Large, 300M) 0.7754 mIoU; MultiSenGE: SatMAE 0.2942 mIoU; MTLCC: SatMAE 0.6323 mIoU; KuroSiwo: Prithvi-EO-2.0 0.6367 mIoU","MultiEarth: +0.0270 mIoU vs best baseline (SatMAE 0.7828 when trained on MillionST); +0.0196 vs SatMAE original; MultiSenGE: +0.0155 vs SatMAE; MTLCC: +0.0395 vs Prithvi-EO-2.0, +0.0063 vs TSViT; KuroSiwo: +0.0344 vs Prithvi-EO-2.0","Sen12Flood: TiMo-Base 86.89% Accuracy, TiMo-Large 86.78% Accuracy (best baseline SatMAE 81.86%)",,"Data efficiency analysis (Figure 6): TiMo-Large trained on 50% KuroSiwo data outperforms Prithvi-EO-2.0 trained on full dataset; With 10% data, TiMo-Large matches/exceeds GASSL, SeCo, CACo, SatMAE trained on 100% data, 'highlighting exceptional data efficiency'; Scalability demonstrated across three model sizes with consistent performance improvements; Cross-modal capability: Successfully transfers from optical (Sentinel-2) to SAR (Sentinel-1) on KuroSiwo despite 'challenging transfer', achieving 0.6711 mIoU.",Deforestation Mapping,2.7,80.24
51,51,51,Tree Crown Delineation/Segmentation,Yes,mAP50|F-score,"Detection: 92.5% mAP50, 94.33% F-score; Segmentation: 92.442% mAP50, 94.20% F-score",Mask R-CNN with ResNet-50-FPN,"Detection: 89.8% mAP50, 90.9% F-score; Segmentation: 88.808% mAP50, 90.1% F-score","Detection: +2.7% mAP50, +3.43% F-score; Segmentation: +3.634% mAP50, +4.1% F-score","Recall: 96.3% (detection), 96% (segmentation)","Model tested on multiscale datasets with resolutions of 5cm, 10cm, 15cm, 20cm, 25cm, and 30cm GSD. Performance maintained at 10cm (F-score ~91% detection, ~90% segmentation), degraded to ~80% F-score at 20cm, and dropped by approximately 20% at 25cm GSD. Model almost maintained similar accuracy at 10cm GSD as original 5cm training data.","Health assessment task achieved mAP50 of 81.66%, recall of 96.6%, and F-score of 88.4% for differentiating between healthy and unhealthy date palm trees. The model outperformed previous work by Gibril et al. (2022) which used Mask R-CNN with Swin transformer, achieving 1.2% higher F-score.",Tree Crown Segmentation,2.7,92.5
52,52,52,Tree Crown Delineation/Segmentation,Yes,Accuracy|mAP,"96.5% top-1 accuracy, 99.8% top-5 accuracy (pre-trained ViT-B/16); 67% accuracy (custom ViT); Mask R-CNN: 78% mAP, 83% mAP@0.5",ResNet18,89% accuracy (pre-trained ResNet18 after 9 epochs),+7.5% accuracy (ViT-B/16 vs ResNet18); -22% accuracy (custom ViT vs ResNet18),Top-5 accuracy: 99.8% (ViT-B/16)|mAP@0.5: 83% (Mask R-CNN),,"Research found that forest classification accuracy varies significantly: pre-trained models perform excellently while custom-trained ViT achieved only moderate results due to similarity in forest features and insufficient training time. For crown segmentation, Mask R-CNN output masks 'cover, to some extent, most of the vegetation area in the image' enabling canopy area calculation based on pixel-to-actual-distance conversion.",Tree Crown Segmentation,7.5,96.5
53,53,53,Deforestation Mapping,Yes,OA|F1-score|Dice|Precision|Recall,"3-band Amazon: 92.3% OA, 91.75% F1, 81.44% Dice; 4-band Amazon: 98.51% OA, 90.75% F1, 95.98% Dice; 4-band Atlantic: 91.95% OA, 87.75% F1, 82.01% Dice",TransUNet,"3-band Amazon: 90.32% OA, 89.95% F1, 79.94% Dice; 4-band Amazon: 92.47% OA, 86.04% F1, 92.53% Dice; 4-band Atlantic: 89.7% OA, 84.62% F1, 78.42% Dice","3-band Amazon: +2.0% OA, +1.8% F1, +1.5% Dice; 4-band Amazon: +6.04% OA, +4.71% F1, +3.45% Dice; 4-band Atlantic: +2.25% OA, +3.13% F1, +3.59% Dice","3-band Amazon: Precision: 89.39% (+3.0%), Recall: 95.16% (+0.5%)|4-band Amazon: Precision: 98.6% (+2.32%), Recall: 98.41% (+9.84%)|4-band Atlantic: Precision: 82.8% (+3.8%), Recall: 93.99% (+1.93%)",,"The model was compared against 9 other segmentation architectures (FCN-VGG19, FCN-ResNet, UNet, UNet+++, ResUNet, R2UNet, SwinUNet, AttUNet, TransUNet), consistently achieving best or near-best performance. AUC values were high across all datasets: 0.973 (3-band Amazon), 0.997 (4-band Amazon), 0.966 (4-band Atlantic), demonstrating excellent separability for forest loss detection.",Deforestation Mapping,3.0,98.51
54,54,54,Tree Crown Delineation/Segmentation,Yes,mIoU|OA,"SensatUrban: 63.31% mIoU, 92.25% OA; Semantic3D: 77.60% mIoU, 91.50% OA","Multiple baselines: PointNet++, KPConv, RandLA-Net, TangentConv, RangeNet, SqueezeSegV3, Salsanext, Polarnet (SensatUrban); Conv_pts, KPConv, RandLA-Net, SPGraph, Wow, RangeNet, FCNoxNet, Snapnet, Att_conv (Semantic3D)","SensatUrban best baseline: Polarnet 57.2% mIoU, 90.1% OA; Semantic3D best baseline: Wow 75.8% mIoU, 87.0% OA","SensatUrban: +6.11% mIoU, +2.15% OA over best baseline; Semantic3D: +1.80% mIoU, +4.50% OA over best baseline","SensatUrban - High Vegetation: 94.60%, Low Vegetation: 91.30%, Natural terrain: 91.50%|Semantic3D - High vegetation: 94.50%, Low vegetation: 83.91%, Natural terrain: 87.40%",,"The model computes vegetation biomass based on the semantic segmentation result using the Jenkins et al. method for North American woodlands. For the example shown, they estimated approximately 8755786.48 kg of biomass.",Tree Crown Segmentation,6.11,63.31
55,55,55,Individual Tree Detection/Counting,Yes,AP50,"88.9% AP50 for mask, 91.0% AP50 for bounding box (multi-modal M2fNet)",Mask R-CNN based,"83.5% AP50 for mask, 88.2% AP50 for bounding box","+5.4% AP50 for mask, +2.8% AP50 for bounding box","RGB-only M2fNet: 87.2% AP50 for mask, 89.7% AP50 for bounding box",,"Evaluation performed on 100 real images from Canadian forests (CanaTree100 dataset reference), demonstrating successful sim-to-real transfer. User study with 15 participants from computer graphics, design, engineering, and forestry backgrounds validated fidelity of simulated data.",Tree Detection,5.4,88.9
56,56,56,Biomass Estimation,Yes,RMSE,Global GFM: 68.7 Mg/ha RMSE; Local GFM: 70.9 Mg/ha RMSE (overall),U-Net,65.5 Mg/ha RMSE (overall across all eco-regions),"U-Net slightly outperforms GFMs: Global GFM -3.2 Mg/ha, Local GFM -5.4 Mg/ha worse than U-Net","Bin-wise RMSE for AGB ranges: (0-50), (50-100), (100-200), (200-300) Mg/ha across three eco-regions (EC1, EC2, EC3)",,"Performance varies by eco-region and AGB range. For low AGB values (0-50 Mg/ha), Global and Local GFM slightly outperform U-Net across all eco-regions. For moderate AGB values (100-200 Mg/ha), U-Net predictions show lower RMSE for eco-regions EC2 and EC3. The models perform differently across the three eco-regions with varying performance patterns by biomass range.",Biomass Estimation,3.2,68.7
57,57,57,Tree Species Classification,No,Overall Accuracy|Kappa Coefficient,"PCT: 88.3% OA, 0.82 Kappa; PT1: 87.3% OA, 0.80 Kappa; PT2: 87.8% OA, 0.81 Kappa","PointNet (MLP-based), PointNet++ (MLP-based), Random Forest","PointNet: 80.5% OA, 0.70 Kappa; PointNet++MSG: 85.5% OA, 0.77 Kappa; PointNet++SSG: 85.0% OA, 0.76 Kappa; RF: 63.3% OA, 0.43 Kappa","PCT vs PointNet: +7.8% OA, +0.12 Kappa; PCT vs PointNet++MSG: +2.8% OA, +0.05 Kappa; PCT vs RF: +25.0% OA, +0.39 Kappa","Producer's Accuracy - PCT: Birch 91.0%, Quercus mongolica 86.8%, Sylvestris 88.4%|User's Accuracy - PCT: Birch 87.5%, Quercus mongolica 86.8%, Sylvestris 90.7%","Tested on different sampling point densities (128, 256, 512, 1024, 2048, 4096, 8192 points). Classification accuracy gradually improved with increasing points from 128 to 4096, with optimal performance at 4096 points. Growth trend slowed after 4096, and PointNet++MSG showed slight decrease at 8192 points due to redundant information.","Results show PCT performed best across all three species with similar high accuracy (>86% for each). As the only coniferous tree, Sylvestris achieved highest classification accuracy (90.7% User's Accuracy). The paper also compared two other transformer architectures: PT1 (Zhao et al.) achieved 87.3% OA and PT2 (Engel et al.) achieved 87.8% OA, demonstrating consistent superiority of transformer approaches over MLP-based methods.",Species Classification,7.8,88.3
58,58,58,Other,No,mIoU,"AdapterH: 0.416 mIoU, LoRA: 0.410 mIoU, AdapterL: 0.359 mIoU, SAM Decoder: 0.321 mIoU",,,,"AdapterH - Precision: 0.827±0.004, Recall: 0.717±0.002, Dice: 0.897±0.000|AdapterL - Precision: 0.714±0.078, Recall: 0.580±0.020, Dice: 0.863±0.001|LoRA - Precision: 0.830±0.002, Recall: 0.694±0.003, Dice: 0.894±0.001|SAM Decoder - Precision: 0.598±0.079, Recall: 0.545±0.017, Dice: 0.824±0.003|SAM zero-shot - mIoU: 0.151",,"Per-class analysis shows performance is dominated by the BACKGROUND class, while MISC and STUMP classes have significantly lower mIoU. CWD class consistently shows the lowest mIoU across all methods due to labeling inconsistencies. Zero-shot SAM with automatic mask generator and point prompts achieved only 0.151 mIoU, demonstrating the necessity of fine-tuning for specific datasets.",Other,,41.6
59,59,59,Individual Tree Detection/Counting,Yes,MAE|RMSE|R²,"20.61 MAE (TreeFormer, 30% labeled); 18.52 MAE (S-TreeFormer, fully supervised); 16.70 MAE (TreeFormer with additional unlabeled)",CCT,24.21 MAE (30% labeled setting),+3.60 MAE improvement over CCT (best semi-supervised baseline); +5.69 MAE improvement over CCT compared to fully supervised S-TreeFormer,"30% labeled: RMSE 26.79, R² 0.66|Fully supervised S-TreeFormer: RMSE 24.32, R² 0.72|With additional unlabeled: RMSE 22.98, R² 0.75|Precision 52.01%, Recall 60.41%, F1 55.90%","Tested across three datasets with different resolutions: KCL-London (0.2m), Jiangsu (0.8m), Yosemite (0.12m). Performance varies by resolution - best on Yosemite (highest resolution, simplest background): MAE 4.69 with 30% labeled data; moderate on KCL-London; lower on Jiangsu due to coarser 0.8m resolution","Regional-level performance measured by GAME: E_G1=29.04, E_G2=45.18, E_G3=70.49. Label efficiency analysis shows: with 30% labeled data, TreeFormer approaches fully supervised performance (MAE 20.61 vs 18.52); adding more unlabeled data consistently improves results - from MAE 27.83 (100 unlabeled) to 16.70 (708 unlabeled including D_au)",Tree Detection,3.6,20.61
60,60,60,Individual Tree Detection/Counting,Yes,AP50|F1-score|Precision|Recall,"0.699 AP50 (Campo Grande); 0.948 F1, 0.934 P, 0.962 R (street trees)",Faster R-CNN (ResNet50),"0.652 AP50 (Campo Grande); 0.898 F1, 0.869 P, 0.928 R (street trees)",+0.047 AP50 (+7.2% improvement over ResNet50 on Campo Grande); +0.050 F1 (+5.6% on street trees),"Training time: 35.760s (±0.417s) vs 40.527s (±0.725s) for ResNet50|Inference time: 0.103s (±0.062s) vs 0.122s (±0.067s) for ResNet50|Street tree detection: Swin-T achieved 226 TP, 16 FP, 9 FN vs ResNet50 with 218 TP, 33 FP, 17 FN",,"Achieved better performance than FSAF (0.701 AP50), RetinaNet (0.650 AP50), and Faster R-CNN (Resnet101FPN) (0.660 AP50) on Campo Grande dataset. Successfully applied to large-scale tree mapping across three different urban landscape types: green space (2241 trees detected), residential area (1713 trees), and suburban area (11459 trees).",Tree Detection,4.7,69.89999999999999
61,61,61,Individual Tree Detection/Counting,Yes,MAE|RMSE|R²,"KCL-London: 16.80 MAE, 21.98 RMSE, 0.78 R²; Yosemite: 4.56 MAE, 6.15 RMSE, 0.89 R²",CSRNet,"KCL-London: 20.21 MAE, 25.69 RMSE, 0.69 R²; Yosemite: 7.25 MAE, 9.35 RMSE, 0.76 R²","KCL-London: -3.41 MAE (-16.9%), -3.71 RMSE (-14.5%), +0.09 R²; Yosemite: -2.69 MAE (-37.1%), -3.20 RMSE (-34.2%), +0.13 R²","Compared with MCNN: KCL-35.0% lower MAE, Yosemite-56.3% lower MAE|Compared with SASNet: KCL-31.0% lower MAE, Yosemite-28.0% lower MAE|Compared with EDNet: KCL-35.8% lower MAE, Yosemite-54.0% lower MAE|Second-best to S-TreeFormer on Yosemite (4.56 vs 4.29 MAE) but best on KCL-London (16.80 vs 18.52 MAE, 9.29% improvement)",,"TreeVision achieves state-of-the-art results on KCL-London dataset with 9.29% lower MAE than previous leading method S-TreeFormer (16.80 vs 18.52). On Yosemite, ranks second overall but with only 6.3% higher MAE than S-TreeFormer while outperforming all other baselines by 28-56%. The improved ground truth generation method also significantly boosts CSRNet performance: CSRNet trained with proposed method achieves 4.92 MAE vs 7.25 MAE with standard method on Yosemite (32.1% improvement).",Tree Detection,3.41,16.8
62,62,62,Individual Tree Detection/Counting,Yes,mAP|AP50|AP75,"Dataset_A: 45.38% mAP, 93.12% AP50, 35.74% AP75; Dataset_B: 48.41% mAP, 94.58% AP50, 40.65% AP75",YOLOv10 (best single-modality baseline),"Dataset_A: 43.03% mAP, 91.29% AP50, 33.21% AP75; Dataset_B: 46.88% mAP, 93.69% AP50, 38.25% AP75","Dataset_A: +2.35% mAP, +1.83% AP50, +2.53% AP75; Dataset_B: +1.53% mAP, +0.89% AP50, +2.40% AP75","Compared against DETR (transformer baseline): Dataset_A — DETR: 38.03% mAP vs MTCDNet: 45.38% mAP (+7.35%)|Compared against MS-DETR: Dataset_A — MS-DETR: 39.46% mAP vs MTCDNet: 45.38% mAP (+5.92%)|Compared against YOLOX: Dataset_A — YOLOX: 40.25% mAP vs MTCDNet: 45.38% mAP (+5.13%)|Compared against YOLOv5: Dataset_A — YOLOv5: 38.98% mAP vs MTCDNet: 45.38% mAP (+6.40%)|Compared against YOLOv8: Dataset_A — YOLOv8: 42.83% mAP vs MTCDNet: 45.38% mAP (+2.55%)|Early Fusion strategy: Dataset_A — 44.25% mAP, 92.50% AP50, 33.17% AP75 (lower than MM-Transformer fusion)","Cross-dataset validation shows resolution robustness: Dataset_A-to-B achieved 43.50% mAP, 92.65% AP50, 28.87% AP75; Dataset_B-to-A achieved 44.17% mAP, 92.13% AP50, 34.22% AP75, demonstrating stable performance across different forest environments","Single modality experiments show: RGB-only achieves 42.96% mAP, Depth-only achieves 37.20% mAP, demonstrating multimodal fusion (45.38% mAP) significantly outperforms either modality alone",Tree Detection,2.35,45.38
63,63,63,Tree Crown Delineation/Segmentation,Yes,IoU|B-IoU,"SegFormer BARE: 84.8% IoU, 62.0% B-IoU; PSPNet Full-Res: 74.3% IoU, 41.8% B-IoU; SETR Full-Res: 88.2% IoU, 64.4% B-IoU",SegFormer baseline|PSPNet baseline|SETR baseline,"SegFormer: 81.7% IoU, 59.0% B-IoU; PSPNet: 74.3% IoU, 41.5% B-IoU; SETR: 88.1% IoU, 64.3% B-IoU","SegFormer: +3.1% IoU, +5.1% B-IoU; PSPNet: +0.0% IoU, +0.7% B-IoU; SETR: +0.1% IoU, +0.2% B-IoU","F1-Score: SegFormer 91.8%, PSPNet 85.2%, SETR 93.8%|Precision: SegFormer 88.5%, PSPNet 85.2%, SETR 94.8%|Recall: SegFormer 95.3%, PSPNet 85.3%, SETR 92.7%|Pixel Accuracy: SegFormer 96.0%, PSPNet 92.8%, SETR 97.0%",,"Introduces B-IoU (Boundary-IoU) metric to TCD research. Ablation shows external full-resolution supervision universally benefits all architectures, but class weighting is architecture-dependent. Only hierarchical transformer (SegFormer) benefits from complete BARE. Pure-transformer (SETR) and CNN-based (PSPNet) perform best with full-resolution supervision alone.",Tree Segmentation,3.1,84.8
